Time Stamp,Inlet Number,T (degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Latitude,Longitude
06/26/2024 13:56:45.734,0,35.6141,1.8699,17978.8,12.1767,0,-1,12410,14764,460,84,No Data,No Data
06/26/2024 13:56:46.860,0,35.6138,1.88892,17831.8,11.6985,0,-1,12410,14741,448,84,No Data,No Data
06/26/2024 13:56:47.884,0,35.6137,1.87299,17922.6,10.6659,0,-1,12401,14736,426,84,No Data,No Data
06/26/2024 13:56:48.908,0,35.6134,1.87253,17901.8,11.6982,0,-1,12411,14721,420,84,No Data,No Data
06/26/2024 13:56:49.932,0,35.6133,1.87545,17887.5,10.4707,0,-1,12411,14721,420,84,No Data,No Data
06/26/2024 13:56:50.956,0,35.6137,1.87278,17897.1,11.0824,0,-1,12409,14739,414,84,No Data,No Data
06/26/2024 13:56:51.980,0,35.6133,1.8713,17882.4,10.9216,0,-1,12401,14736,415,84,No Data,No Data
06/26/2024 13:56:53.004,0,35.6135,1.87394,17881.8,11.0419,0,-1,12394,14730,419,84,No Data,No Data
06/26/2024 13:56:54.028,0,35.6132,1.87364,17899.3,10.7725,0,-1,12398,14730,421,84,No Data,No Data
06/26/2024 13:56:55.052,0,35.6127,1.87141,17898,11.7543,0.0631621,-1,12410,14715,421,84,No Data,No Data
06/26/2024 13:56:56.076,0,35.6126,1.87044,17884.2,11.2985,0.0527768,-1,12414,14732,419,84,No Data,No Data
06/26/2024 13:56:57.100,0,35.6126,1.87725,17898.4,10.752,0.000318684,-1,12406,14720,413,84,No Data,No Data
06/26/2024 13:56:58.124,0,35.6120,1.87261,17912.8,11.1899,0.000542454,-1,12407,14740,419,84,No Data,No Data
06/26/2024 13:56:59.148,0,35.6122,1.87228,17907.2,10.5974,0.0323686,-1,12400,14746,417,84,No Data,No Data
06/26/2024 13:57:00.172,0,35.6120,1.87377,17896.6,12.0103,0.0252017,-1,12400,14746,417,84,No Data,No Data
06/26/2024 13:57:01.196,0,35.6117,1.87024,17887.5,10.9553,0.0493643,-1,12393,14746,427,84,No Data,No Data
06/26/2024 13:57:02.220,0,35.6113,1.87436,17891.1,10.6499,0.0387393,-1,12404,14724,419,84,No Data,No Data
06/26/2024 13:57:03.244,0,35.6119,1.87021,17875.3,11.7918,-0.0178875,-1,12403,14727,423,84,No Data,No Data
06/26/2024 13:57:04.268,0,35.6111,1.87341,17868.7,10.3589,-0.0140489,-1,12412,14724,427,84,No Data,No Data
06/26/2024 13:57:05.292,0,35.6111,1.87403,17889.1,12.4637,0.00037716,-1,12413,14720,427,84,No Data,No Data
06/26/2024 13:57:06.316,0,35.6107,1.87135,17891.4,11.0635,0.00721076,-1,12411,14741,422,84,No Data,No Data
06/26/2024 13:57:07.340,0,35.6112,1.87068,17880.3,10.8661,0.025933,-1,12397,14745,415,84,No Data,No Data
06/26/2024 13:57:08.364,0,35.6107,1.8702,17878.8,10.8468,0.0463529,-1,12398,14746,411,84,No Data,No Data
06/26/2024 13:57:09.388,0,35.6105,1.87211,17882.5,11.6876,0.0349671,-1,12394,14744,423,84,No Data,No Data
06/26/2024 13:57:10.412,0,35.6106,1.87192,17871.9,11.3404,0.0315804,-1,12391,14742,423,84,No Data,No Data
06/26/2024 13:57:11.436,0,35.6105,1.87266,17866.7,12.1239,0.0225797,-1,12397,14741,421,84,No Data,No Data
06/26/2024 13:57:12.460,0,35.6104,1.87505,17865.3,11.6629,0.0368365,-1,12411,14730,425,84,No Data,No Data
06/26/2024 13:57:13.484,0,35.6099,1.87075,17876.5,11.2476,0.0369406,-1,12408,14719,426,84,No Data,No Data
06/26/2024 13:57:14.508,0,35.6095,1.87055,17876.9,11.3034,0.0345519,-1,12412,14720,423,84,No Data,No Data
06/26/2024 13:57:15.532,0,35.6099,1.87076,17865,11.2202,0.0357984,-1,12412,14725,422,84,No Data,No Data
06/26/2024 13:57:16.556,0,35.6096,1.87267,17863,12.3415,0.0801764,-1,12407,14732,417,84,No Data,No Data
06/26/2024 13:57:17.580,0,35.6096,1.873,17868.2,11.255,-0.0971187,-1,12399,14751,421,84,No Data,No Data
06/26/2024 13:57:18.604,0,35.6092,1.87455,17867.4,11.5268,-0.0668144,-1,12399,14751,421,84,No Data,No Data
06/26/2024 13:57:19.628,0,35.6094,1.86986,17847.5,11.4609,-0.082856,-1,12395,14737,422,84,No Data,No Data
06/26/2024 13:57:20.652,0,35.6086,1.87217,17855,11.1262,0.00541826,-1,12392,14738,416,84,No Data,No Data
06/26/2024 13:57:21.676,0,35.6096,1.86805,17849.1,10.1916,0.156686,-1,12398,14735,416,84,No Data,No Data
06/26/2024 13:57:22.700,0,35.6095,1.87308,17838.3,10.8458,0.13441,-1,12411,14718,421,84,No Data,No Data
06/26/2024 13:57:23.724,0,35.6097,1.87202,17848.6,11.152,0.149808,-1,12407,14728,422,84,No Data,No Data
06/26/2024 13:57:24.748,0,35.6101,1.87047,17848.8,10.3346,0.216135,-1,12405,14742,413,84,No Data,No Data
06/26/2024 13:57:25.772,0,35.6096,1.87171,17858.7,11.712,0.22217,-1,12398,14733,405,84,No Data,No Data
06/26/2024 13:57:26.796,0,35.6100,1.87459,17865,11.8722,0.263549,-1,12390,14734,412,84,No Data,No Data
